,userid,datetime,labels
0,0,1970-01-01 00:00:00,7
1,0,1970-01-01 01:00:00,8
2,0,1970-01-01 02:00:00,7
3,0,1970-01-01 03:00:00,3
4,0,1970-01-01 04:00:00,7
5,0,1970-01-01 05:00:00,5
6,0,1970-01-01 06:00:00,6
7,0,1970-01-01 07:00:00,5
8,0,1970-01-01 08:00:00,1
9,0,1970-01-01 09:00:00,4
10,0,1970-01-01 10:00:00,1
11,0,1970-01-01 11:00:00,1
12,0,1970-01-01 12:00:00,5
13,0,1970-01-01 13:00:00,1
14,0,1970-01-01 14:00:00,5
15,0,1970-01-01 15:00:00,0
16,0,1970-01-01 16:00:00,7
17,0,1970-01-01 17:00:00,1
18,0,1970-01-01 18:00:00,8
19,0,1970-01-01 19:00:00,1
20,0,1970-01-01 20:00:00,4
21,0,1970-01-01 21:00:00,1
22,0,1970-01-01 22:00:00,8
23,0,1970-01-01 23:00:00,5
24,0,1970-01-02 00:00:00,3
25,0,1970-01-02 01:00:00,6
26,0,1970-01-02 02:00:00,2
27,0,1970-01-02 03:00:00,8
28,0,1970-01-02 04:00:00,9
29,0,1970-01-02 05:00:00,4
30,0,1970-01-02 06:00:00,4
31,0,1970-01-02 07:00:00,3
32,0,1970-01-02 08:00:00,2
33,0,1970-01-02 09:00:00,3
34,0,1970-01-02 10:00:00,9
35,0,1970-01-02 11:00:00,0
36,0,1970-01-02 12:00:00,0
37,0,1970-01-02 13:00:00,7
38,0,1970-01-02 14:00:00,5
39,0,1970-01-02 15:00:00,0
40,0,1970-01-02 16:00:00,5
41,0,1970-01-02 17:00:00,5
42,0,1970-01-02 18:00:00,6
43,0,1970-01-02 19:00:00,3
44,0,1970-01-02 20:00:00,5
45,0,1970-01-02 21:00:00,2
46,0,1970-01-02 22:00:00,6
47,0,1970-01-02 23:00:00,2
48,0,1970-01-03 00:00:00,6
49,0,1970-01-03 01:00:00,9
50,0,1970-01-03 02:00:00,0
51,0,1970-01-03 03:00:00,2
52,0,1970-01-03 04:00:00,9
53,0,1970-01-03 05:00:00,3
54,0,1970-01-03 06:00:00,8
55,0,1970-01-03 07:00:00,2
56,0,1970-01-03 08:00:00,0
57,0,1970-01-03 09:00:00,6
58,0,1970-01-03 10:00:00,8
59,0,1970-01-03 11:00:00,8
60,0,1970-01-03 12:00:00,0
61,0,1970-01-03 13:00:00,1
62,0,1970-01-03 14:00:00,5
63,0,1970-01-03 15:00:00,9
64,0,1970-01-03 16:00:00,4
65,0,1970-01-03 17:00:00,5
66,0,1970-01-03 18:00:00,4
67,0,1970-01-03 19:00:00,8
68,0,1970-01-03 20:00:00,7
69,0,1970-01-03 21:00:00,9
70,0,1970-01-03 22:00:00,6
71,0,1970-01-03 23:00:00,1
72,0,1970-01-04 00:00:00,2
73,0,1970-01-04 01:00:00,3
74,0,1970-01-04 02:00:00,7
75,0,1970-01-04 03:00:00,5
76,0,1970-01-04 04:00:00,6
77,0,1970-01-04 05:00:00,7
78,0,1970-01-04 06:00:00,5
79,0,1970-01-04 07:00:00,9
80,0,1970-01-04 08:00:00,0
81,0,1970-01-04 09:00:00,5
82,0,1970-01-04 10:00:00,2
83,0,1970-01-04 11:00:00,3
84,0,1970-01-04 12:00:00,4
85,0,1970-01-04 13:00:00,5
86,0,1970-01-04 14:00:00,5
87,0,1970-01-04 15:00:00,5
88,0,1970-01-04 16:00:00,8
89,0,1970-01-04 17:00:00,6
90,0,1970-01-04 18:00:00,0
91,0,1970-01-04 19:00:00,1
92,0,1970-01-04 20:00:00,2
93,0,1970-01-04 21:00:00,2
94,0,1970-01-04 22:00:00,4
95,0,1970-01-04 23:00:00,8
96,0,1970-01-05 00:00:00,7
97,0,1970-01-05 01:00:00,3
98,0,1970-01-05 02:00:00,2
99,0,1970-01-05 03:00:00,2
100,0,1970-01-05 04:00:00,1
101,0,1970-01-05 05:00:00,9
102,0,1970-01-05 06:00:00,9
103,0,1970-01-05 07:00:00,6
104,0,1970-01-05 08:00:00,8
105,0,1970-01-05 09:00:00,5
106,0,1970-01-05 10:00:00,1
107,0,1970-01-05 11:00:00,7
108,0,1970-01-05 12:00:00,6
109,0,1970-01-05 13:00:00,9
110,0,1970-01-05 14:00:00,3
111,0,1970-01-05 15:00:00,2
112,0,1970-01-05 16:00:00,7
113,0,1970-01-05 17:00:00,1
114,0,1970-01-05 18:00:00,8
115,0,1970-01-05 19:00:00,5
116,0,1970-01-05 20:00:00,4
117,0,1970-01-05 21:00:00,4
118,0,1970-01-05 22:00:00,8
119,0,1970-01-05 23:00:00,1
120,0,1970-01-06 00:00:00,6
121,0,1970-01-06 01:00:00,1
122,0,1970-01-06 02:00:00,5
123,0,1970-01-06 03:00:00,3
124,0,1970-01-06 04:00:00,1
125,0,1970-01-06 05:00:00,5
126,0,1970-01-06 06:00:00,6
127,0,1970-01-06 07:00:00,6
128,0,1970-01-06 08:00:00,4
129,0,1970-01-06 09:00:00,9
130,0,1970-01-06 10:00:00,0
131,0,1970-01-06 11:00:00,4
132,0,1970-01-06 12:00:00,1
133,0,1970-01-06 13:00:00,5
134,0,1970-01-06 14:00:00,7
135,0,1970-01-06 15:00:00,5
136,0,1970-01-06 16:00:00,6
137,0,1970-01-06 17:00:00,7
138,0,1970-01-06 18:00:00,3
139,0,1970-01-06 19:00:00,9
140,0,1970-01-06 20:00:00,0
141,0,1970-01-06 21:00:00,9
142,0,1970-01-06 22:00:00,2
143,0,1970-01-06 23:00:00,2
144,0,1970-01-07 00:00:00,4
145,0,1970-01-07 01:00:00,2
146,0,1970-01-07 02:00:00,6
147,0,1970-01-07 03:00:00,9
148,0,1970-01-07 04:00:00,8
149,0,1970-01-07 05:00:00,1
150,0,1970-01-07 06:00:00,7
151,0,1970-01-07 07:00:00,8
152,0,1970-01-07 08:00:00,2
153,0,1970-01-07 09:00:00,0
154,0,1970-01-07 10:00:00,4
155,0,1970-01-07 11:00:00,5
156,0,1970-01-07 12:00:00,6
157,0,1970-01-07 13:00:00,7
158,0,1970-01-07 14:00:00,8
159,0,1970-01-07 15:00:00,9
160,0,1970-01-07 16:00:00,0
161,0,1970-01-07 17:00:00,7
162,0,1970-01-07 18:00:00,8
163,0,1970-01-07 19:00:00,5
164,0,1970-01-07 20:00:00,3
165,0,1970-01-07 21:00:00,9
166,0,1970-01-07 22:00:00,6
167,0,1970-01-07 23:00:00,7
168,0,1970-01-08 00:00:00,9
169,0,1970-01-08 01:00:00,0
170,0,1970-01-08 02:00:00,9
171,0,1970-01-08 03:00:00,2
172,0,1970-01-08 04:00:00,8
173,0,1970-01-08 05:00:00,3
174,0,1970-01-08 06:00:00,0
175,0,1970-01-08 07:00:00,8
176,0,1970-01-08 08:00:00,3
177,0,1970-01-08 09:00:00,3
178,0,1970-01-08 10:00:00,7
179,0,1970-01-08 11:00:00,6
180,0,1970-01-08 12:00:00,0
181,0,1970-01-08 13:00:00,6
182,0,1970-01-08 14:00:00,1
183,0,1970-01-08 15:00:00,8
184,0,1970-01-08 16:00:00,5
185,0,1970-01-08 17:00:00,4
186,0,1970-01-08 18:00:00,4
187,0,1970-01-08 19:00:00,3
188,0,1970-01-08 20:00:00,3
189,0,1970-01-08 21:00:00,9
190,0,1970-01-08 22:00:00,0
191,0,1970-01-08 23:00:00,2
192,0,1970-01-09 00:00:00,2
193,0,1970-01-09 01:00:00,3
194,0,1970-01-09 02:00:00,0
195,0,1970-01-09 03:00:00,5
